3;0;0;2;0,D://Eclipse//LotRGame//LotRpics//Done//cards3//01.png,-,-,0,red,3,rhovanion-gondor
0;1;1;0;2,D://Eclipse//LotRGame//LotRpics//Done//cards3//02.png,-,-,0,purple,0,0;-2;-1
0;0;2;1;1,D://Eclipse//LotRGame//LotRpics//Done//cards3//03.png,-,-,0,purple,0,3;0;0
0;3;0;0;1,D://Eclipse//LotRGame//LotRpics//Done//cards3//04.png,-,-,0,purple,0,2;-1;0
0;0;3;1;0,D://Eclipse//LotRGame//LotRpics//Done//cards3//05.png,-,-,0,purple,0,0;-1;-2
2;0;0;2;0,D://Eclipse//LotRGame//LotRpics//Done//cards3//06.png,-,scroll,0,green,1,5
1;1;1;0;1,D://Eclipse//LotRGame//LotRpics//Done//cards3//07.png,-,-,0,purple,0,2;0;-1
3;0;1;0;0,D://Eclipse//LotRGame//LotRpics//Done//cards3//08.png,-,mat,0,blue,2,-
0;2;0;1;0,D://Eclipse//LotRGame//LotRpics//Done//cards3//09.png,-,-,0,purple,0,1;-1;-1
0;0;2;1;1,D://Eclipse//LotRGame//LotRpics//Done//cards3//10.png,-,-,0,green,1,4
2;0;1;0;0,D://Eclipse//LotRGame//LotRpics//Done//cards3//11.png,-,chest,0,yellow,5,-
1;0;0;1;1,D://Eclipse//LotRGame//LotRpics//Done//cards3//12.png,-,-,0,yellow,5,-
0;0;0;0;0,D://Eclipse//LotRGame//LotRpics//Done//cards3//13.png,-,-,3,blue,3,-
0;2;0;1;1,D://Eclipse//LotRGame//LotRpics//Done//cards3//14.png,-,-,0,green,1,5
1;1;0;2;1,D://Eclipse//LotRGame//LotRpics//Done//cards3//15.png,-,axe,0,red,3,gondor-arnor
1;3;0;0;0,D://Eclipse//LotRGame//LotRpics//Done//cards3//16.png,-,fire,0,blue,1,-
0;2;2;0;0,D://Eclipse//LotRGame//LotRpics//Done//cards3//17.png,-,armor,0,red,3,enedwaith-rohan
1;2;2;0;0,D://Eclipse//LotRGame//LotRpics//Done//cards3//18.png,-,-,0,red,3,rhovanion-mordor
2;0;2;0;0,D://Eclipse//LotRGame//LotRpics//Done//cards3//19.png,-,-,0,red,3,enedwaith-arnor
2;0;1;0;2,D://Eclipse//LotRGame//LotRpics//Done//cards3//20.png,-,-,0,red,3,lindon-mordor
0;2;0;1;0,D://Eclipse//LotRGame//LotRpics//Done//cards3//21.png,-,-,0,blue,2,-
0;2;0;0;2,D://Eclipse//LotRGame//LotRpics//Done//cards3//22.png,-,-,0,green,1,4
2;0;2;0;0,D://Eclipse//LotRGame//LotRpics//Done//cards3//23.png,-,fish,0,blue,2,-
